,open,close,high,low,volume,money
2010/1/4,3592.47,3535.23,3597.75,3535.23,6610108000,93419838921
2010/1/5,3545.19,3564.04,3577.53,3497.66,8580964100,1.28302E+11
2010/1/6,3558.7,3541.73,3588.83,3541.17,7847312500,1.21046E+11
2010/1/7,3543.16,3471.46,3558.56,3452.77,8035003700,1.20436E+11
2010/1/8,3456.91,3480.13,3482.08,3426.7,6079025300,90190959969
2010/1/11,3593.11,3482.05,3594.53,3465.32,8998017200,1.34114E+11
2010/1/12,3477.84,3534.92,3535.41,3437.66,9374327800,1.34071E+11
2010/1/13,3448.29,3421.14,3490.11,3415.69,11245790100,1.5986E+11
2010/1/14,3433.47,3469.05,3470.32,3411.81,8335325200,1.18108E+11
2010/1/15,3472.52,3482.74,3500.07,3448.66,7254310200,1.04035E+11
2010/1/18,3471.78,3500.68,3501.26,3458.04,8285430700,1.17884E+11
2010/1/19,3506.81,3507.48,3528.39,3497.09,7488323200,1.08024E+11
2010/1/20,3512.25,3394.43,3515.45,3387.82,9249514600,1.28416E+11
2010/1/21,3397.04,3408.57,3425.18,3364.72,7059506800,1.00077E+11
2010/1/22,3364.45,3366.2,3390.8,3293.19,8893340400,1.19198E+11
2010/1/25,3340.01,3328.01,3372.43,3326.27,5684917100,76626626843
2010/1/26,3328.11,3242.8,3341.2,3222.14,6175223100,81586059213
2010/1/27,3243.04,3198.57,3255.12,3183.36,5269139400,70540273182
2010/1/28,3195.29,3206.57,3220.31,3168.46,4699071600,64082115658
2010/1/29,3190.32,3204.16,3249.45,3176.92,5026261300,68018118702
2010/2/1,3198.23,3152.71,3198.31,3116.44,5700138000,75982150475
2010/2/2,3170.78,3146.19,3211.94,3143.09,5013003300,68318412373
2010/2/3,3160.71,3230.72,3231.1,3094.57,6479889400,87536249983
2010/2/4,3206.43,3218.8,3242.52,3190.44,5897272600,75466552963
2010/2/5,3147.72,3153.09,3177.42,3129.92,5910584500,73693132366
2010/2/8,3152.25,3150.99,3172.31,3133.81,3735595100,47902429250
2010/2/9,3147.76,3169.19,3178.95,3144.48,3595315800,45222660374
2010/2/10,3195.14,3214.13,3214.46,3182.83,3421989400,48152144637
2010/2/11,3216.69,3220.4,3238.35,3207.16,3579105200,46999712971
2010/2/12,3232.88,3251.28,3253.2,3228.74,3405823800,46703220577
2010/2/22,3248.95,3233.34,3261.95,3232.78,3828377200,49981333658
2010/2/23,3225.39,3198.63,3225.39,3152.93,4274289800,62386076936
2010/2/24,3177.08,3244.48,3244.82,3165.13,4998943700,64414097361
2010/2/25,3252.15,3292.13,3294.14,3249.33,6758661700,89485801632
2010/2/26,3286.09,3281.67,3301.15,3273.69,5210728800,70171666128
2010/3/1,3290.01,3324.42,3330.38,3287.56,6050452000,81205689009
2010/3/2,3327.1,3311.24,3339.89,3299.68,5703437400,76233992315
2010/3/3,3313.02,3335.08,3335.65,3293.92,6062273200,78442132954
2010/3/4,3338.67,3250.57,3345.91,3244.98,6934681000,89462913752
2010/3/5,3253.16,3259.76,3276.4,3239.68,4562913800,59621178434
2010/3/8,3268.4,3286.18,3293.93,3258.03,4154087600,54686555117
2010/3/9,3285.62,3305.86,3322.51,3255.98,5419948600,71971297725
2010/3/10,3304.04,3279.69,3321.08,3267.76,4642107900,61760429281
2010/3/11,3282.2,3276.7,3303.49,3251.7,4748775400,63732658851
2010/3/12,3277.31,3233.13,3284.26,3232.12,3995734400,52611210820
2010/3/15,3231.22,3183.18,3234.82,3171.8,3784430400,49219898122
2010/3/16,3183.78,3203.97,3204.29,3169.1,3084778000,41510426396
2010/3/17,3214.22,3273.92,3274,3207.27,4580093400,62587395428
2010/3/18,3277.88,3267.55,3295.37,3256.59,4694801300,62509130228
2010/3/19,3270.98,3293.87,3296.41,3251.14,4606218700,62114230718
2010/3/22,3297.82,3302.63,3313.92,3288.51,4943946200,65652976792
2010/3/23,3305.55,3275.57,3309.12,3272.92,4653953600,62145531443
2010/3/24,3282.05,3276.67,3298.54,3271.03,4454796600,58330301241
2010/3/25,3270.39,3229.13,3270.39,3222.82,4498428500,58604759567
2010/3/26,3226.8,3275,3285.39,3220.59,4744496500,61592843185
2010/3/29,3295.76,3358.54,3363.61,3293.67,8472491000,1.10327E+11
2010/3/30,3361.35,3366.71,3372.26,3350.31,5643698000,78682669413
2010/3/31,3369.19,3345.61,3369.9,3338.74,5312428700,72120886278
2010/4/1,3349.88,3391.93,3392.48,3349.88,6777266900,92360495841
2010/4/2,3400.14,3407.35,3412.2,3391.81,6907345200,99040760060
2010/4/6,3422.85,3405.14,3436.29,3386.89,6519171000,93985883918
2010/4/7,3403.09,3386.95,3404.58,3369.02,5401122800,76733159936
2010/4/8,3381.31,3346.74,3381.31,3336.16,6218532200,89317468603
2010/4/9,3348.77,3379.17,3379.4,3342.47,5128056700,75590356319
2010/4/12,3388.36,3351.48,3393.56,3330.3,7456515000,1.05997E+11
2010/4/13,3350.73,3391.72,3401.71,3324.05,7990769500,1.1644E+11
2010/4/14,3394.64,3403.71,3404.52,3377.44,6030613100,90787568716
2010/4/15,3407.03,3394.57,3412.94,3365.88,6105168500,88700235636
2010/4/16,3388.29,3356.33,3388.29,3348.78,4714036800,67235596653
2010/4/19,3313.5,3176.42,3313.5,3175.44,8841630000,1.18856E+11
2010/4/20,3176.41,3173.37,3196.65,3130.96,6413785900,88005965691
2010/4/21,3178.88,3236.68,3237.54,3164.76,6692833100,93373377791
2010/4/22,3222.68,3201.54,3231.99,3177.73,7108168800,98970386343
2010/4/23,3198.78,3190,3224.74,3172.58,6125267900,92115669956
2010/4/26,3195.46,3172,3207.72,3168.37,5089419900,74959121055
2010/4/27,3163.1,3108.41,3163.1,3060.85,6529657400,88058360562
2010/4/28,3080.32,3097.35,3122.11,3062.09,4599540600,65484924588
2010/4/29,3114.94,3060.06,3130.7,3059.8,4826097100,69250868103
2010/4/30,3060.12,3067.36,3068.13,3014.07,5447788100,73190884013
2010/5/4,3005.49,3019.45,3056.08,2994.92,4124861000,54558607131
2010/5/5,2981.78,3036.39,3036.86,2943.36,5967044100,80835340414
2010/5/6,3014.91,2896.86,3014.91,2895.39,5877041300,81502262034
2010/5/7,2835.88,2836.79,2892.53,2817.15,6111939900,79147499714
2010/5/10,2842.37,2858.23,2872.31,2798.52,5020917300,64909188147
2010/5/11,2916.34,2800.82,2922.13,2790.7,5836349000,73894666754
2010/5/12,2781.71,2818.16,2832.15,2756.42,5300227100,64693988243
2010/5/13,2818.58,2886.91,2886.97,2811.66,5514577800,67486536614
2010/5/14,2865.58,2868.02,2888.09,2849.24,4249871900,55175291043
2010/5/17,2828.88,2714.72,2828.88,2712.44,5216684700,62395513473
2010/5/18,2711.41,2771.35,2781.84,2686.97,5450967100,62746245805
2010/5/19,2748.95,2762.17,2803.7,2723.3,4557622100,54656401336
2010/5/20,2739.22,2726.02,2793.88,2721.07,4217480300,52677914862
2010/5/21,2656.42,2768.79,2769.09,2647.6,5447538300,63501808937
2010/5/24,2787.75,2873.47,2886.37,2787.75,7450233800,89961882752
2010/5/25,2851.26,2813.94,2855.33,2798.02,5516832700,67954988050
2010/5/26,2814.44,2813.94,2839.03,2797.63,3985856400,48495603059
2010/5/27,2808.05,2859.98,2866.86,2771.59,5344520900,65266773667
2010/5/28,2885.86,2850.3,2893.69,2835.07,5153498900,64342505421
2010/5/31,2835.33,2773.26,2857.42,2772.79,4621685400,56695803642
2010/6/1,2755.28,2744.16,2782.29,2710.59,4485142600,53230913831
2010/6/2,2729.33,2757.53,2757.91,2700.07,3958702000,46364229493
2010/6/3,2769.1,2736.08,2787.51,2735.7,3958725800,47143262922
2010/6/4,2721.36,2744.39,2748.48,2713.09,3274629100,39858363381
2010/6/7,2692.83,2695.72,2716.4,2673.34,3954199300,47062703369
2010/6/8,2694.11,2699.34,2720.59,2672.06,3514018200,42677104255
2010/6/9,2711.64,2782.13,2787.82,2687.33,6020953300,70710080539
2010/6/10,2755.94,2750.02,2776.26,2746.11,4290633400,50312244286
2010/6/11,2766.2,2758.87,2782.09,2755.95,4055858500,48871478557
2010/6/17,2778.53,2742.73,2784.92,2742.64,3261235600,40293233998
2010/6/18,2739.03,2696.17,2755.84,2686.61,4180834400,50256350918
2010/6/21,2698.98,2780.66,2784.47,2686.32,5526148200,62809190519
2010/6/22,2772.89,2783.72,2795.32,2766.44,3909605200,45207207792
2010/6/23,2768.7,2758.49,2788.22,2734.05,3560035000,41600240721
2010/6/24,2753.71,2757.5,2783.51,2739.81,2922068200,33772857040
2010/6/25,2744.12,2736.29,2759.45,2715.66,3067178200,34649179151
2010/6/28,2734.51,2716.78,2751.45,2710.09,2771004400,31198277084
2010/6/29,2717.47,2592.02,2724.23,2591.69,4875855200,50635969685
2010/6/30,2572.91,2563.07,2575.82,2546.84,3569879400,35809892277
2010/7/1,2557.92,2526.07,2574.1,2524.57,3285764600,32478457404
2010/7/2,2523.03,2534.11,2542.12,2462.2,4491410000,43367318435
2010/7/5,2507.35,2512.65,2529.43,2476.49,3217857400,30922298985
2010/7/6,2504.87,2562.9,2563.41,2502.93,3971476200,38976836519
2010/7/7,2561.11,2580.48,2580.61,2548.56,3572090900,37059898462
2010/7/8,2591.51,2575.92,2602.23,2564.64,3405696600,35348760455
2010/7/9,2578.55,2647.1,2662.16,2557.26,5849304500,61470066938
2010/7/12,2647.42,2676.22,2689.81,2636.65,5846249100,63462262470
2010/7/13,2649.66,2634.59,2649.66,2618.34,4322850600,45125109071
2010/7/14,2640.93,2653.61,2684.62,2640.54,4668886000,49497106670
2010/7/15,2650.33,2608.52,2680.44,2607.79,4044045900,41444710868
2010/7/16,2597,2616.13,2621.33,2573.79,3506330200,35422326209
2010/7/19,2592.09,2682.47,2691.94,2585.01,5386807000,59826125817
2010/7/20,2685.46,2741.5,2746.24,2685.46,7312834500,80958216794
2010/7/21,2744.7,2747.34,2766.2,2733.72,7075709200,73734684585
2010/7/22,2738.03,2781.29,2783.14,2734.07,6106480600,63576603000
2010/7/23,2787.52,2793.08,2806.98,2769.44,6451856500,70423335023
2010/7/26,2798.76,2811.05,2811.95,2775.78,5358002600,59848905278
2010/7/27,2803.76,2795.72,2812.21,2785.37,4979988400,55963991462
2010/7/28,2796.48,2863.72,2866.4,2784.16,7998595400,84516845765
2010/7/29,2866.77,2877.98,2888.6,2852,9596540900,92278224492
2010/7/30,2871.48,2868.85,2876.14,2844.68,6257559100,65224482367
2010/8/2,2868.28,2917.28,2922.61,2867.45,7174330000,73569074427
2010/8/3,2925.25,2865.97,2929.61,2865.76,8174836400,86870574135
2010/8/4,2858.35,2876.43,2876.59,2818.25,7131803900,75670144265
2010/8/5,2874.66,2850.83,2877.31,2833.67,6715758100,73038457567
2010/8/6,2848.16,2897.66,2898.53,2821.03,7491489500,82145150913
2010/8/9,2894.1,2918.24,2922.62,2888.05,7472639100,83431980844
2010/8/10,2920.4,2832.64,2925.3,2832.08,7843503400,84283699448
2010/8/11,2823.15,2850.21,2864.36,2823.15,5497913300,58786302173
2010/8/12,2822.79,2816.39,2860.37,2810.1,5989322700,65825613506
2010/8/13,2818.41,2855.55,2856.04,2799.22,5850772100,62923747790
2010/8/16,2851.22,2922.08,2927.69,2843.02,8106804300,91427507573
2010/8/17,2927.26,2942.29,2949.73,2917.83,7645291200,86700542871
2010/8/18,2945.98,2937.36,2962.75,2924.67,7074760000,80832368101
2010/8/19,2940.77,2955.39,2975.19,2928.01,7692486500,91734587115
2010/8/20,2943.33,2898.33,2951.96,2892.64,7166330600,82298173112
2010/8/23,2895.71,2896.19,2920.54,2886.66,4891551700,57772779300
2010/8/24,2892.13,2911.83,2933.12,2866.8,6109379600,65036592635
2010/8/25,2893.99,2843.02,2904.66,2842.25,6361062100,67048224427
2010/8/26,2853.11,2850.09,2868.88,2836.13,4867044200,51862922913
2010/8/27,2847.45,2858.57,2861.07,2833.42,4078958200,46699343358
2010/8/30,2874.25,2915.01,2921.09,2872.92,6574988200,77341616491
2010/8/31,2905.15,2903.19,2910.06,2889.81,6576610400,79976347302
2010/9/1,2907.66,2884.04,2931.76,2859.17,7697557800,87931887194
2010/9/2,2917.74,2921.39,2931.55,2903.03,7070085100,88923142593
2010/9/3,2926.94,2920.2,2929.55,2891.88,7264102700,87724829649
2010/9/6,2935.89,2975.09,2980.42,2935.89,9385568100,1.10466E+11
2010/9/7,2979.3,2983.11,2991.43,2959.9,7351936100,85488193860
2010/9/8,2970,2980.97,2982.72,2953.84,7287200200,92660879129
2010/9/9,2986.87,2926.46,2986.87,2922.2,8139555400,1.03248E+11
2010/9/10,2928,2932.55,2940.79,2890.03,6508670400,83743163807
